input_name,matched_name,symbol,yfinance_ticker,confidence
Oil & Natural Gas Corporation Ltd.,Oil & Natural Gas Corporation Limited,ONGC,ONGC.NS,93.10344827586206
Nestle India Ltd.,Nestle India Limited,NESTLEIND,NESTLEIND.NS,85.71428571428572
Bharat Petroleum Corporation Ltd.,Bharat Petroleum Corporation Limited,BPCL,BPCL.NS,93.33333333333331
Glaxosmithkline Pharmaceuticals Ltd.,GlaxoSmithKline Pharmaceuticals Limited,GLAXO,GLAXO.NS,93.93939393939394
National Aluminium Company Ltd.,National Aluminium Company Limited,NATIONALUM,NATIONALUM.NS,92.85714285714286
Abbott India Ltd.,Abbott India Limited,ABBOTINDIA,ABBOTINDIA.NS,85.71428571428572
Bharat Forge Ltd.,Bharat Forge Limited,BHARATFORG,BHARATFORG.NS,85.71428571428572
Bank Of Baroda,Bank of Baroda,BANKBARODA,BANKBARODA.NS,100.0
Sanofi Consumer Healthcare India Ltd.,Sanofi Consumer Healthcare India Limited,SANOFICONR,SANOFICONR.NS,94.11764705882352
Computer Age Management Services Ltd.,Computer Age Management Services Limited,CAMS,CAMS.NS,94.11764705882352
IndusInd Bank Ltd.,IndusInd Bank Limited,INDUSINDBK,INDUSINDBK.NS,86.66666666666667
Aster Dm Healthcare Ltd.,Aster DM Healthcare Limited,ASTERDM,ASTERDM.NS,90.47619047619048
Mahindra & Mahindra Financial Services Ltd.,Mahindra & Mahindra Financial Services Limited,M&MFIN,M&MFIN.NS,94.73684210526316
Alkem Laboratories Ltd.,Alkem Laboratories Limited,ALKEM,ALKEM.NS,90.0
Indian Oil Corporation Ltd.,Indian Oil Corporation Limited,IOC,IOC.NS,91.66666666666666
PNB Housing Finance Ltd.,PNB Housing Finance Limited,PNBHOUSING,PNBHOUSING.NS,90.47619047619048
HCL Technologies Ltd.,HCL Technologies Limited,HCLTECH,HCLTECH.NS,88.88888888888889
Whirlpool Of India Ltd.,Whirlpool of India Limited,WHIRLPOOL,WHIRLPOOL.NS,90.0
United Spirits Ltd.,United Spirits Limited,UNITDSPR,UNITDSPR.NS,87.5
Navin Fluorine International Ltd.,Navin Fluorine International Limited,NAVINFLUOR,NAVINFLUOR.NS,93.33333333333331
Sanofi India Ltd.,Sanofi India Limited,SANOFI,SANOFI.NS,85.71428571428572
Rallis India Ltd.,Rallis India Limited,RALLIS,RALLIS.NS,85.71428571428572
Life Insurance Corporation Of India,Life Insurance Corporation Of India,LICI,LICI.NS,100.0
Bank Of Maharashtra,Bank of Maharashtra,MAHABANK,MAHABANK.NS,100.0
Ashiana Housing Ltd.,Ashiana Housing Limited,ASHIANA,ASHIANA.NS,88.23529411764706
The Ramco Cements Ltd.,The Ramco Cements Limited,RAMCOCEM,RAMCOCEM.NS,89.47368421052632
Equitas Small Finance Bank Ltd.,Equitas Small Finance Bank Limited,EQUITASBNK,EQUITASBNK.NS,92.85714285714286
Neogen Chemicals Ltd.,Neogen Chemicals Limited,NEOGEN,NEOGEN.NS,88.88888888888889
Prism Johnson Ltd.,Prism Johnson Limited,PRSMJOHNSN,PRSMJOHNSN.NS,86.66666666666667
Steel Authority Of India Ltd.,Steel Authority of India Limited,SAIL,SAIL.NS,92.3076923076923
Ingersoll Rand (India) Ltd.,Ingersoll Rand (India) Limited,INGERRAND,INGERRAND.NS,90.9090909090909
Gateway Distriparks Ltd.,Gateway Distriparks Limited,GATEWAY,GATEWAY.NS,90.47619047619048
Aurobindo Pharma Ltd.,Aurobindo Pharma Limited,AUROPHARMA,AUROPHARMA.NS,88.88888888888889
Sula Vineyards Ltd.,Sula Vineyards Limited,SULA,SULA.NS,87.5
Greenply Industries Ltd.,Greenply Industries Limited,GREENPLY,GREENPLY.NS,90.47619047619048
Automotive Axles Ltd.,Automotive Axles Limited,AUTOAXLES,AUTOAXLES.NS,88.88888888888889
Jindal Steel Ltd.,JINDAL STEEL LIMITED,JINDALSTEL,JINDALSTEL.NS,85.71428571428572
Gland Pharma Ltd.,Gland Pharma Limited,GLAND,GLAND.NS,85.71428571428572
Godrej Consumer Products Ltd.,Godrej Consumer Products Limited,GODREJCP,GODREJCP.NS,92.3076923076923
Sundram Fasteners Ltd.,Sundram Fasteners Limited,SUNDRMFAST,SUNDRMFAST.NS,89.47368421052632
Hindustan Petroleum Corporation Ltd.,Hindustan Petroleum Corporation Limited,HINDPETRO,HINDPETRO.NS,93.93939393939394
ZF Commercial Vehicle Control Systems India Ltd.,ZF Commercial Vehicle Control Systems India Limited,ZFCVINDIA,ZFCVINDIA.NS,95.55555555555556
Cholamandalam Financial Holdings Ltd.,Cholamandalam Financial Holdings Limited,CHOLAHLDNG,CHOLAHLDNG.NS,94.11764705882352
Acutaas Chemicals Ltd.,Acutaas Chemicals Limited,ACUTAAS,ACUTAAS.NS,89.47368421052632
Hatsun Agro Product Ltd.,Hatsun Agro Product Limited,HATSUN,HATSUN.NS,90.47619047619048
Tube Investments Of India Ltd.,Tube Investments of India Limited,TIINDIA,TIINDIA.NS,92.5925925925926
Aditya Birla Capital Ltd.,Aditya Birla Capital Limited,ABCAPITAL,ABCAPITAL.NS,90.9090909090909
Bank Of India,Bank of India,BANKINDIA,BANKINDIA.NS,100.0
Ganesha Ecosphere Ltd.,Ganesha Ecosphere Limited,GANECOS,GANECOS.NS,89.47368421052632
Lemon Tree Hotels Ltd.,Lemon Tree Hotels Limited,LEMONTREE,LEMONTREE.NS,89.47368421052632
Solar Industries India Ltd.,Solar Industries India Limited,SOLARINDS,SOLARINDS.NS,91.66666666666666
Adani Energy Solutions Ltd.,Adani Energy Solutions Limited,ADANIENSOL,ADANIENSOL.NS,91.66666666666666
Procter & Gamble Hygiene And Health Care Ltd.,Procter & Gamble Hygiene and Health Care Limited,PGHH,PGHH.NS,95.0
Adani Ports And Special Economic Zone Ltd.,Adani Ports and Special Economic Zone Limited,ADANIPORTS,ADANIPORTS.NS,94.87179487179486
Sundaram Finance Ltd.,Sundaram Finance Limited,SUNDARMFIN,SUNDARMFIN.NS,88.88888888888889
Bharat Heavy Electricals Ltd.,Bharat Heavy Electricals Limited,BHEL,BHEL.NS,92.3076923076923
Oberoi Realty Ltd.,Oberoi Realty Limited,OBEROIRLTY,OBEROIRLTY.NS,86.66666666666667
The Phoenix Mills Ltd.,The Phoenix Mills Limited,PHOENIXLTD,PHOENIXLTD.NS,89.47368421052632
Cohance Lifesciences Ltd.,Cohance Lifesciences Limited,COHANCE,COHANCE.NS,90.9090909090909
The India Cements Ltd.,The India Cements Limited,INDIACEM,INDIACEM.NS,89.47368421052632
Urban Company Ltd.,Urban Company Limited,URBANCO,URBANCO.NS,86.66666666666667
Garware Technical Fibres Ltd.,Garware Technical Fibres Limited,GARFIBRES,GARFIBRES.NS,92.3076923076923
Gokaldas Exports Ltd.,Gokaldas Exports Limited,GOKEX,GOKEX.NS,88.88888888888889
CCL Products (India) Ltd.,CCL Products (India) Limited,CCL,CCL.NS,90.0
Anthem Biosciences Ltd.,Anthem Biosciences Limited,ANTHEM,ANTHEM.NS,90.0
Clean Science & Technology Ltd.,Clean Science and Technology Limited,CLEAN,CLEAN.NS,85.71428571428572
Hyundai Motor India Ltd.,Hyundai Motor India Limited,HYUNDAI,HYUNDAI.NS,90.47619047619048
Privi Speciality Chemicals Ltd.,Privi Speciality Chemicals Limited,PRIVISCL,PRIVISCL.NS,92.85714285714286
Ather Energy Ltd.,Ather Energy Limited,ATHERENERG,ATHERENERG.NS,85.71428571428572
Happiest Minds Technologies Ltd.,Happiest Minds Technologies Limited,HAPPSTMNDS,HAPPSTMNDS.NS,93.10344827586206
Indiamart Intermesh Ltd.,Indiamart Intermesh Limited,INDIAMART,INDIAMART.NS,90.47619047619048
Sbfc Finance Ltd.,SBFC Finance Limited,SBFC,SBFC.NS,85.71428571428572
Happy Forgings Ltd.,Happy Forgings Limited,HAPPYFORGE,HAPPYFORGE.NS,87.5
Doms Industries Ltd.,DOMS Industries Limited,DOMS,DOMS.NS,88.23529411764706
Deepak Fertilizers And Petrochemicals Corporation Ltd.,Deepak Fertilizers and Petrochemicals Corporation Limited,DEEPAKFERT,DEEPAKFERT.NS,96.07843137254902
Fine Organic Industries Ltd.,Fine Organic Industries Limited,FINEORG,FINEORG.NS,92.0
Thangamayil Jewellery Ltd.,Thangamayil Jewellery Limited,THANGAMAYL,THANGAMAYL.NS,91.30434782608695
Finolex Industries Ltd.,Finolex Industries Limited,FINPIPE,FINPIPE.NS,90.0
Sansera Engineering Ltd.,Sansera Engineering Limited,SANSERA,SANSERA.NS,90.47619047619048
Go Fashion (India) Ltd.,Go Fashion (India) Limited,GOCOLORS,GOCOLORS.NS,88.88888888888889
Knr Constructions Ltd.,KNR Constructions Limited,KNRCON,KNRCON.NS,89.47368421052632
Cms Info Systems Ltd.,CMS Info Systems Limited,CMSINFO,CMSINFO.NS,88.88888888888889
Triveni Turbine Ltd.,Triveni Turbine Limited,TRITURBINE,TRITURBINE.NS,88.23529411764706
Ratnamani Metals & Tubes Ltd.,Ratnamani Metals & Tubes Limited,RATNAMANI,RATNAMANI.NS,91.66666666666666
Rossari Biotech Ltd.,Rossari Biotech Limited,ROSSARI,ROSSARI.NS,88.23529411764706
Balrampur Chini Mills Ltd.,Balrampur Chini Mills Limited,BALRAMCHIN,BALRAMCHIN.NS,91.30434782608695
Rajratan Global Wire Ltd.,Rajratan Global Wire Limited,RAJRATAN,RAJRATAN.NS,90.9090909090909
Acme Solar Holdings Ltd.,Acme Solar Holdings Limited,ACMESOLAR,ACMESOLAR.NS,90.47619047619048
Westlife Foodworld Ltd.,WESTLIFE FOODWORLD LIMITED,WESTLIFE,WESTLIFE.NS,90.0
Ajax Engineering Ltd.,Ajax Engineering Limited,AJAXENGG,AJAXENGG.NS,88.88888888888889
Afcons Infrastructure Ltd.,Afcons Infrastructure Limited,AFCONS,AFCONS.NS,91.30434782608695
Ahluwalia Contracts (India) Ltd.,Ahluwalia Contracts (India) Limited,AHLUCONT,AHLUCONT.NS,92.5925925925926
Chemplast Sanmar Ltd.,Chemplast Sanmar Limited,CHEMPLASTS,CHEMPLASTS.NS,88.88888888888889
Anandrathi Wealth Ltd.,Anand Rathi Wealth Limited,ANANDRATHI,ANANDRATHI.NS,87.17948717948718
Brigade Enterprises Ltd.,Brigade Enterprises Limited,BRIGADE,BRIGADE.NS,90.47619047619048
TTK Prestige Ltd.,TTK Prestige Limited,TTKPRESTIG,TTKPRESTIG.NS,85.71428571428572
Hexaware Technologies Ltd.,Hexaware Technologies Limited,HEXT,HEXT.NS,91.30434782608695
TVS Holdings Ltd.,TVS Holdings Limited,TVSHLTD,TVSHLTD.NS,85.71428571428572
Sundaram Clayton Ltd.,Sundaram Clayton Limited,SUNCLAY,SUNCLAY.NS,88.88888888888889
Mahindra Lifespace Developers Ltd.,Mahindra Lifespace Developers Limited,MAHLIFE,MAHLIFE.NS,93.5483870967742
Medplus Health Services Ltd.,Medplus Health Services Limited,MEDPLUS,MEDPLUS.NS,92.0
Fortis Healthcare Ltd.,Fortis Healthcare Limited,FORTIS,FORTIS.NS,89.47368421052632
Heidelbergcement India Ltd.,HeidelbergCement India Limited,HEIDELBERG,HEIDELBERG.NS,91.66666666666666
Gujarat State Petronet Ltd.,Gujarat State Petronet Limited,GSPL,GSPL.NS,91.66666666666666
Niva Bupa Health Insurance Company Ltd.,Niva Bupa Health Insurance Company Limited,NIVABUPA,NIVABUPA.NS,94.44444444444444
Pitti Engineering Ltd.,Pitti Engineering Limited,PITTIENG,PITTIENG.NS,89.47368421052632
Max Healthcare Institute Ltd.,Max Healthcare Institute Limited,MAXHEALTH,MAXHEALTH.NS,92.3076923076923
Torrent Pharmaceuticals Ltd.,Torrent Pharmaceuticals Limited,TORNTPHARM,TORNTPHARM.NS,92.0
Concord Biotech Ltd.,Concord Biotech Limited,CONCORDBIO,CONCORDBIO.NS,88.23529411764706
Vijaya Diagnostic Centre Ltd.,Vijaya Diagnostic Centre Limited,VIJAYA,VIJAYA.NS,92.3076923076923
Rainbow Children'S Medicare Ltd.,Rainbow Childrens Medicare Limited,RAINBOW,RAINBOW.NS,92.85714285714286
Gufic Biosciences Ltd.,Gufic Biosciences Limited,GUFICBIO,GUFICBIO.NS,89.47368421052632
SBI Cards & Payment Services Ltd.,SBI Cards and Payment Services Limited,SBICARD,SBICARD.NS,86.66666666666667
Power Finance Corporation Ltd.,Power Finance Corporation Limited,PFC,PFC.NS,92.5925925925926
City Union Bank Ltd.,City Union Bank Limited,CUB,CUB.NS,88.23529411764706
Care Ratings Ltd.,CARE Ratings Limited,CARERATING,CARERATING.NS,85.71428571428572
Aditya Birla Sun Life Amc Ltd.,Aditya Birla Sun Life AMC Limited,ABSLAMC,ABSLAMC.NS,92.5925925925926
Bharat Electronics Ltd.,Bharat Electronics Limited,BEL,BEL.NS,90.0
Indian Bank,Indian Bank,INDIANB,INDIANB.NS,100.0
General Insurance Corporation Of India,General Insurance Corporation of India,GICRE,GICRE.NS,100.0
Indraprastha Gas Ltd.,Indraprastha Gas Limited,IGL,IGL.NS,88.88888888888889
Engineers India Ltd.,Engineers India Limited,ENGINERSIN,ENGINERSIN.NS,88.23529411764706
Jindal Stainless Ltd.,Jindal Stainless Limited,JSL,JSL.NS,88.88888888888889
Shyam MetaLICs And Energy Ltd.,Shyam Metalics and Energy Limited,SHYAMMETL,SHYAMMETL.NS,92.5925925925926
Ambuja Cements Ltd.,Ambuja Cements Limited,AMBUJACEM,AMBUJACEM.NS,87.5
Hindustan Copper Ltd.,Hindustan Copper Limited,HINDCOPPER,HINDCOPPER.NS,88.88888888888889
Sagar Cements Ltd.,Sagar Cements Limited,SAGCEM,SAGCEM.NS,86.66666666666667
Ashoka Buildcon Ltd.,Ashoka Buildcon Limited,ASHOKA,ASHOKA.NS,88.23529411764706
Samhi Hotels Ltd.,Samhi Hotels Limited,SAMHI,SAMHI.NS,85.71428571428572
Campus Activewear Ltd.,Campus Activewear Limited,CAMPUS,CAMPUS.NS,89.47368421052632
Flair Writing Industries Ltd.,Flair Writing Industries Limited,FLAIR,FLAIR.NS,92.3076923076923
Titan Company Ltd.,Titan Company Limited,TITAN,TITAN.NS,86.66666666666667
Aditya Infotech Ltd.,Aditya Infotech Limited,CPPLUS,CPPLUS.NS,88.23529411764706
Avanti Feeds Ltd.,Avanti Feeds Limited,AVANTIFEED,AVANTIFEED.NS,85.71428571428572
Apollo Tyres Ltd.,Apollo Tyres Limited,APOLLOTYRE,APOLLOTYRE.NS,85.71428571428572
Firstsource Solutions Ltd.,Firstsource Solutions Limited,FSL,FSL.NS,91.30434782608695
Persistent Systems Ltd.,Persistent Systems Limited,PERSISTENT,PERSISTENT.NS,90.0
Route Mobile Ltd.,ROUTE MOBILE LIMITED,ROUTE,ROUTE.NS,85.71428571428572
NIIT Learning Systems Ltd.,NIIT Learning Systems Limited,NIITMTS,NIITMTS.NS,91.30434782608695
Unicommerce Esolutions Ltd.,Unicommerce Esolutions Limited,UNIECOM,UNIECOM.NS,91.66666666666666
Apollo Hospitals Enterprise Ltd.,Apollo Hospitals Enterprise Limited,APOLLOHOSP,APOLLOHOSP.NS,93.10344827586206
Tata Consumer Products Ltd.,TATA CONSUMER PRODUCTS LIMITED,TATACONSUM,TATACONSUM.NS,91.66666666666666
Dr. Reddy'S Laboratories Ltd.,Dr. Reddy's Laboratories Limited,DRREDDY,DRREDDY.NS,91.66666666666666
Hero Motocorp Ltd.,Hero MotoCorp Limited,HEROMOTOCO,HEROMOTOCO.NS,86.66666666666667
Adani Enterprises Ltd.,Adani Enterprises Limited,ADANIENT,ADANIENT.NS,89.47368421052632
Shriram Finance Ltd.,Shriram Finance Limited,SHRIRAMFIN,SHRIRAMFIN.NS,88.23529411764706
Jio Financial Services Ltd.,Jio Financial Services Limited,JIOFIN,JIOFIN.NS,91.66666666666666
Savita Oil Technologies Ltd.,Savita Oil Technologies Limited,SOTL,SOTL.NS,92.0
Graphite India Ltd.,Graphite India Limited,GRAPHITE,GRAPHITE.NS,87.5
Shivalik Bimetal Controls Ltd.,Shivalik Bimetal Controls Limited,SBCL,SBCL.NS,92.5925925925926
Gabriel India Ltd.,Gabriel India Limited,GABRIEL,GABRIEL.NS,86.66666666666667
Endurance Technologies Ltd.,Endurance Technologies Limited,ENDURANCE,ENDURANCE.NS,91.66666666666666
Asahi India Glass Ltd.,Asahi India Glass Limited,ASAHIINDIA,ASAHIINDIA.NS,89.47368421052632
Alicon Castalloy Ltd.,Alicon Castalloy Limited,ALICON,ALICON.NS,88.88888888888889
Info Edge (India) Ltd.,Info Edge (India) Limited,NAUKRI,NAUKRI.NS,88.23529411764706
Teamlease Services Ltd.,Teamlease Services Limited,TEAMLEASE,TEAMLEASE.NS,90.0
Go Digit General Insurance Ltd.,Go Digit General Insurance Limited,GODIGIT,GODIGIT.NS,92.85714285714286
Home First Finance Company India Ltd.,Home First Finance Company India Limited,HOMEFIRST,HOMEFIRST.NS,94.11764705882352
AU Small Finance Bank Ltd.,AU Small Finance Bank Limited,AUBANK,AUBANK.NS,91.30434782608695
Coromandel International Ltd.,Coromandel International Limited,COROMANDEL,COROMANDEL.NS,92.3076923076923
Polycab India Ltd.,Polycab India Limited,POLYCAB,POLYCAB.NS,86.66666666666667
Vedant Fashions Ltd.,Vedant Fashions Limited,MANYAVAR,MANYAVAR.NS,88.23529411764706
LIC Housing Finance Ltd.,LIC Housing Finance Limited,LICHSGFIN,LICHSGFIN.NS,90.47619047619048
GMR Airports Ltd.,GMR AIRPORTS LIMITED,GMRAIRPORT,GMRAIRPORT.NS,85.71428571428572
Bajaj Housing Finance Ltd.,Bajaj Housing Finance Limited,BAJAJHFL,BAJAJHFL.NS,91.30434782608695
Indian Railway Finance Corporation Ltd.,Indian Railway Finance Corporation Limited,IRFC,IRFC.NS,94.44444444444444
Aditya Birla Real Estate Ltd.,Aditya Birla Real Estate Limited,ABREL,ABREL.NS,92.3076923076923
Avanse Financial Services Ltd.,Abans Financial Services Limited,AFSL,AFSL.NS,86.79245283018868
Pnc Infratech Ltd.,PNC Infratech Limited,PNCINFRA,PNCINFRA.NS,86.66666666666667
Godrej Industries Ltd.,Godrej Industries Limited,GODREJIND,GODREJIND.NS,89.47368421052632
Mahanagar Telephone Nigam Ltd.,Mahanagar Telephone Nigam Limited,MTNL,MTNL.NS,92.5925925925926
Aadhar Housing Finance Ltd.,Aadhar Housing Finance Limited,AADHARHFC,AADHARHFC.NS,91.66666666666666
Restaurant Brands Asia Ltd.,Restaurant Brands Asia Limited,RBA,RBA.NS,91.66666666666666
Bandhan Bank Ltd.,Bandhan Bank Limited,BANDHANBNK,BANDHANBNK.NS,85.71428571428572
VRL Logistics Ltd.,VRL Logistics Limited,VRLLOG,VRLLOG.NS,86.66666666666667
Gujarat Pipavav Port Ltd.,Gujarat Pipavav Port Limited,GPPL,GPPL.NS,90.9090909090909
Mahanagar Gas Ltd.,Mahanagar Gas Limited,MGL,MGL.NS,86.66666666666667
Tata Technologies Ltd.,Tata Technologies Limited,TATATECH,TATATECH.NS,89.47368421052632
Thane Investment Corporation Ltd.,Tata Investment Corporation Limited,TATAINVEST,TATAINVEST.NS,88.13559322033898
Tata Capital Ltd.,Tata Capital Limited,TATACAP,TATACAP.NS,85.71428571428572
Sanathan Textiles Ltd.,Sanathan Textiles Limited,SANATHAN,SANATHAN.NS,89.47368421052632
Wonderla Holidays Ltd.,Wonderla Holidays Limited,WONDERLA,WONDERLA.NS,89.47368421052632
Hindustan Aeronautics Ltd.,Hindustan Aeronautics Limited,HAL,HAL.NS,91.30434782608695
Vodafone Idea Ltd.,Vodafone Idea Limited,IDEA,IDEA.NS,86.66666666666667
